Semestre,temporal_marker,role,score,count,respondent_n,share
2025.2,T2,Product Manager,3.0,9,41,0.21951219512195122
2025.2,T2,Product Manager,4.0,3,41,0.07317073170731707
2025.2,T2,Project Manager,1.0,18,41,0.43902439024390244
2025.2,T2,Project Manager,2.0,13,41,0.3170731707317073
2025.2,T2,Project Manager,3.0,9,41,0.21951219512195122
2025.2,T2,Project Manager,4.0,1,41,0.024390243902439025
2025.2,T2,QA,1.0,14,41,0.34146341463414637
2025.2,T2,QA,2.0,12,41,0.2926829268292683
2025.2,T2,QA,3.0,13,41,0.3170731707317073
2025.2,T2,QA,4.0,1,41,0.024390243902439025
2025.2,T2,QA,5.0,1,41,0.024390243902439025
2025.2,T2,Scrum Master,1.0,11,41,0.2682926829268293
2025.2,T2,Scrum Master,2.0,16,41,0.3902439024390244
2025.2,T2,Scrum Master,3.0,12,41,0.2926829268292683
2025.2,T2,Scrum Master,4.0,2,41,0.04878048780487805
2025.2,T3,Backend,1.0,12,40,0.3
2025.2,T3,Backend,2.0,11,40,0.275
2025.2,T3,Backend,3.0,11,40,0.275
2025.2,T3,Backend,4.0,5,40,0.125
2025.2,T3,Backend,5.0,1,40,0.025
2025.2,T3,Frontend,1.0,7,40,0.175
2025.2,T3,Frontend,2.0,12,40,0.3
2025.2,T3,Frontend,3.0,7,40,0.175
2025.2,T3,Frontend,4.0,13,40,0.325
2025.2,T3,Frontend,5.0,1,40,0.025
2025.2,T3,Product Manager,1.0,9,40,0.225
2025.2,T3,Product Manager,2.0,17,40,0.425
2025.2,T3,Product Manager,3.0,13,40,0.325
2025.2,T3,Product Manager,4.0,1,40,0.025
2025.2,T3,Project Manager,1.0,11,40,0.275
2025.2,T3,Project Manager,2.0,18,40,0.45
2025.2,T3,Project Manager,3.0,8,40,0.2
2025.2,T3,Project Manager,4.0,3,40,0.075
2025.2,T3,QA,1.0,14,40,0.35
2025.2,T3,QA,2.0,15,40,0.375
2025.2,T3,QA,3.0,7,40,0.175
2025.2,T3,QA,4.0,3,40,0.075
2025.2,T3,QA,5.0,1,40,0.025
2025.2,T3,Scrum Master,1.0,8,40,0.2
2025.2,T3,Scrum Master,2.0,13,40,0.325
2025.2,T3,Scrum Master,3.0,14,40,0.35
2025.2,T3,Scrum Master,4.0,4,40,0.1
2025.2,T3,Scrum Master,5.0,1,40,0.025
2026.1,T1,Backend,1.0,5,22,0.22727272727272727
2026.1,T1,Backend,2.0,9,22,0.4090909090909091
2026.1,T1,Backend,3.0,4,22,0.18181818181818182
2026.1,T1,Backend,4.0,4,22,0.18181818181818182
2026.1,T1,Frontend,1.0,1,22,0.045454545454545456
2026.1,T1,Frontend,2.0,7,22,0.3181818181818182
2026.1,T1,Frontend,3.0,4,22,0.18181818181818182
2026.1,T1,Frontend,4.0,8,22,0.36363636363636365
2026.1,T1,Frontend,5.0,2,22,0.09090909090909091
2026.1,T1,Product Manager,1.0,3,22,0.13636363636363635
2026.1,T1,Product Manager,2.0,8,22,0.36363636363636365
2026.1,T1,Product Manager,3.0,8,22,0.36363636363636365
2026.1,T1,Product Manager,4.0,3,22,0.13636363636363635
2026.1,T1,Project Manager,1.0,4,22,0.18181818181818182
2026.1,T1,Project Manager,2.0,8,22,0.36363636363636365
2026.1,T1,Project Manager,3.0,6,22,0.2727272727272727
2026.1,T1,Project Manager,4.0,4,22,0.18181818181818182
2026.1,T1,QA,1.0,6,22,0.2727272727272727
2026.1,T1,QA,2.0,8,22,0.36363636363636365
2026.1,T1,QA,3.0,6,22,0.2727272727272727
2026.1,T1,QA,4.0,2,22,0.09090909090909091
2026.1,T1,Scrum Master,1.0,2,22,0.09090909090909091
2026.1,T1,Scrum Master,2.0,5,22,0.22727272727272727
2026.1,T1,Scrum Master,3.0,7,22,0.3181818181818182
2026.1,T1,Scrum Master,4.0,4,22,0.18181818181818182
2026.1,T1,Scrum Master,5.0,4,22,0.18181818181818182
2026.1,T2,Backend,1.0,6,20,0.3
2026.1,T2,Backend,2.0,8,20,0.4
2026.1,T2,Backend,3.0,4,20,0.2
2026.1,T2,Backend,4.0,2,20,0.1
2026.1,T2,Frontend,1.0,3,20,0.15
2026.1,T2,Frontend,2.0,7,20,0.35
2026.1,T2,Frontend,3.0,4,20,0.2
2026.1,T2,Frontend,4.0,6,20,0.3
2026.1,T2,Product Manager,1.0,5,20,0.25
2026.1,T2,Product Manager,2.0,9,20,0.45
2026.1,T2,Product Manager,3.0,5,20,0.25
2026.1,T2,Product Manager,4.0,1,20,0.05
2026.1,T2,Project Manager,1.0,6,20,0.3
2026.1,T2,Project Manager,2.0,8,20,0.4
2026.1,T2,Project Manager,3.0,6,20,0.3
2026.1,T2,QA,1.0,9,20,0.45
2026.1,T2,QA,2.0,6,20,0.3
2026.1,T2,QA,3.0,4,20,0.2
2026.1,T2,QA,4.0,1,20,0.05
2026.1,T2,Scrum Master,1.0,6,20,0.3
2026.1,T2,Scrum Master,2.0,5,20,0.25
2026.1,T2,Scrum Master,3.0,5,20,0.25
2026.1,T2,Scrum Master,4.0,2,20,0.1
2026.1,T2,Scrum Master,5.0,2,20,0.1
2026.1,T3,Backend,1.0,3,18,0.16666666666666666
2026.1,T3,Backend,2.0,9,18,0.5
2026.1,T3,Backend,3.0,2,18,0.1111111111111111
2026.1,T3,Backend,4.0,2,18,0.1111111111111111
2026.1,T3,Backend,5.0,2,18,0.1111111111111111
2026.1,T3,Frontend,1.0,2,18,0.1111111111111111
2026.1,T3,Frontend,2.0,4,18,0.2222222222222222
2026.1,T3,Frontend,3.0,3,18,0.16666666666666666
2026.1,T3,Frontend,4.0,5,18,0.2777777777777778
2026.1,T3,Frontend,5.0,4,18,0.2222222222222222
2026.1,T3,Product Manager,1.0,6,18,0.3333333333333333
2026.1,T3,Product Manager,2.0,6,18,0.3333333333333333
2026.1,T3,Product Manager,3.0,2,18,0.1111111111111111
2026.1,T3,Product Manager,4.0,2,18,0.1111111111111111
2026.1,T3,Product Manager,5.0,2,18,0.1111111111111111
2026.1,T3,Project Manager,1.0,8,18,0.4444444444444444
2026.1,T3,Project Manager,2.0,4,18,0.2222222222222222
2026.1,T3,Project Manager,3.0,3,18,0.16666666666666666
2026.1,T3,Project Manager,4.0,1,18,0.05555555555555555
2026.1,T3,Project Manager,5.0,2,18,0.1111111111111111
2026.1,T3,QA,1.0,4,18,0.2222222222222222
2026.1,T3,QA,2.0,6,18,0.3333333333333333
2026.1,T3,QA,3.0,3,18,0.16666666666666666
2026.1,T3,QA,4.0,3,18,0.16666666666666666
2026.1,T3,QA,5.0,2,18,0.1111111111111111
2026.1,T3,Scrum Master,1.0,5,18,0.2777777777777778
2026.1,T3,Scrum Master,2.0,6,18,0.3333333333333333
2026.1,T3,Scrum Master,3.0,2,18,0.1111111111111111
2026.1,T3,Scrum Master,4.0,2,18,0.1111111111111111
2026.1,T3,Scrum Master,5.0,3,18,0.16666666666666666
