Semestre,temporal_marker,perception_family,category,count,respondent_n,share
2025.2,T2,project_challenges,0,34,41,0.8292682926829268
2025.2,T2,project_challenges,1,7,41,0.17073170731707318
2025.2,T2,project_feeling,0,33,41,0.8048780487804879
2025.2,T2,project_feeling,1,3,41,0.07317073170731707
2025.2,T2,project_feeling,2,5,41,0.12195121951219512
2025.2,T3,ai_benefit,0,3,40,0.075
2025.2,T3,ai_benefit,1,2,40,0.05
2025.2,T3,ai_benefit,2,18,40,0.45
2025.2,T3,ai_benefit,3,16,40,0.4
2025.2,T3,ai_benefit,4,1,40,0.025
2025.2,T3,ai_career_impact_5y,0,6,40,0.15
2025.2,T3,ai_career_impact_5y,1,18,40,0.45
2025.2,T3,ai_career_impact_5y,2,13,40,0.325
2025.2,T3,ai_career_impact_5y,3,3,40,0.075
2025.2,T3,autonomy_tool_dependency,1,1,40,0.025
2025.2,T3,autonomy_tool_dependency,2,11,40,0.275
2025.2,T3,autonomy_tool_dependency,3,6,40,0.15
2025.2,T3,autonomy_tool_dependency,4,22,40,0.55
2025.2,T3,career_expectation,0,29,40,0.725
2025.2,T3,career_expectation,1,6,40,0.15
2025.2,T3,career_expectation,2,5,40,0.125
2025.2,T3,project_challenges,0,34,40,0.85
2025.2,T3,project_challenges,1,6,40,0.15
2025.2,T3,project_feeling,0,32,40,0.8
2025.2,T3,project_feeling,1,3,40,0.075
2025.2,T3,project_feeling,2,4,40,0.1
2025.2,T3,project_feeling,3,1,40,0.025
2026.1,T1,ai_benefit,0,3,22,0.13636363636363635
2026.1,T1,ai_benefit,1,2,22,0.09090909090909091
2026.1,T1,ai_benefit,2,10,22,0.45454545454545453
2026.1,T1,ai_benefit,3,6,22,0.2727272727272727
2026.1,T1,ai_benefit,4,1,22,0.045454545454545456
2026.1,T1,ai_career_impact_5y,0,3,22,0.13636363636363635
2026.1,T1,ai_career_impact_5y,1,7,22,0.3181818181818182
2026.1,T1,ai_career_impact_5y,2,9,22,0.4090909090909091
2026.1,T1,ai_career_impact_5y,3,3,22,0.13636363636363635
2026.1,T1,autonomy_tool_dependency,2,13,22,0.5909090909090909
2026.1,T1,autonomy_tool_dependency,3,4,22,0.18181818181818182
2026.1,T1,autonomy_tool_dependency,4,5,22,0.22727272727272727
2026.1,T1,career_expectation,0,16,22,0.7272727272727273
2026.1,T1,career_expectation,1,5,22,0.22727272727272727
2026.1,T1,career_expectation,2,1,22,0.045454545454545456
2026.1,T1,project_challenges,0,19,22,0.8636363636363636
2026.1,T1,project_challenges,1,3,22,0.13636363636363635
2026.1,T1,project_feeling,0,18,22,0.8181818181818182
2026.1,T1,project_feeling,1,1,22,0.045454545454545456
2026.1,T1,project_feeling,2,3,22,0.13636363636363635
2026.1,T2,ai_benefit,0,3,20,0.15
2026.1,T2,ai_benefit,1,3,20,0.15
2026.1,T2,ai_benefit,2,9,20,0.45
2026.1,T2,ai_benefit,3,4,20,0.2
2026.1,T2,ai_benefit,4,1,20,0.05
2026.1,T2,ai_career_impact_5y,0,1,20,0.05
2026.1,T2,ai_career_impact_5y,1,4,20,0.2
2026.1,T2,ai_career_impact_5y,2,13,20,0.65
2026.1,T2,ai_career_impact_5y,3,2,20,0.1
2026.1,T2,autonomy_tool_dependency,1,1,20,0.05
2026.1,T2,autonomy_tool_dependency,2,6,20,0.3
2026.1,T2,autonomy_tool_dependency,3,7,20,0.35
2026.1,T2,autonomy_tool_dependency,4,6,20,0.3
2026.1,T2,career_expectation,0,13,20,0.65
2026.1,T2,career_expectation,1,4,20,0.2
2026.1,T2,career_expectation,2,2,20,0.1
2026.1,T2,career_expectation,3,1,20,0.05
2026.1,T2,project_challenges,0,16,20,0.8
2026.1,T2,project_challenges,1,4,20,0.2
2026.1,T2,project_feeling,0,13,20,0.65
2026.1,T2,project_feeling,1,3,20,0.15
2026.1,T2,project_feeling,2,4,20,0.2
2026.1,T3,ai_benefit,0,4,18,0.2222222222222222
2026.1,T3,ai_benefit,1,2,18,0.1111111111111111
2026.1,T3,ai_benefit,2,10,18,0.5555555555555556
2026.1,T3,ai_benefit,3,2,18,0.1111111111111111
2026.1,T3,ai_career_impact_5y,0,2,18,0.1111111111111111
2026.1,T3,ai_career_impact_5y,1,5,18,0.2777777777777778
2026.1,T3,ai_career_impact_5y,2,8,18,0.4444444444444444
2026.1,T3,ai_career_impact_5y,3,3,18,0.16666666666666666
2026.1,T3,autonomy_tool_dependency,2,5,18,0.2777777777777778
2026.1,T3,autonomy_tool_dependency,4,13,18,0.7222222222222222
2026.1,T3,career_expectation,0,11,18,0.6111111111111112
2026.1,T3,career_expectation,1,2,18,0.1111111111111111
2026.1,T3,career_expectation,2,4,18,0.2222222222222222
2026.1,T3,career_expectation,3,1,18,0.05555555555555555
2026.1,T3,project_challenges,0,17,18,0.9444444444444444
2026.1,T3,project_challenges,1,1,18,0.05555555555555555
2026.1,T3,project_feeling,0,13,18,0.7222222222222222
2026.1,T3,project_feeling,1,1,18,0.05555555555555555
2026.1,T3,project_feeling,2,4,18,0.2222222222222222
